location_name,location_id,count,day,day_of_year,day_of_week,MaxTemp,MeanTemp,MinTemp,SnowonGrndcm,TotalPrecipmm,TotalRainmm,TotalSnowcm
ALEX,2,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
COBY,3,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
ORPY,10,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
ALEX,2,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
COBY,3,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
ORPY,10,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
ALEX,2,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
COBY,3,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
ORPY,10,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
ALEX,2,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
COBY,3,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
ORPY,10,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
ALEX,2,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
COBY,3,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
ORPY,10,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
ALEX,2,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
COBY,3,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
ORPY,10,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
ALEX,2,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
COBY,3,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
ORPY,10,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
ALEX,2,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
COBY,3,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
ORPY,10,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
ALEX,2,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
COBY,3,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
ORPY,10,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
ALEX,2,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
COBY,3,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
ORPY,10,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
ALEX,2,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
COBY,3,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
ORPY,10,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
ALEX,2,0,11,11,1.0,-9.6,-10.6,-11.6,18.0,0.0,0.0,0.0
COBY,3,0,11,11,1.0,-9.6,-10.6,-11.6,18.0,0.0,0.0,0.0
ORPY,10,0,11,11,1.0,-9.6,-10.6,-11.6,18.0,0.0,0.0,0.0
ALEX,2,0,12,12,2.0,-7.8,-9.6,-11.3,21.0,1.2,0.0,2.0
COBY,3,0,12,12,2.0,-7.8,-9.6,-11.3,21.0,1.2,0.0,2.0
ORPY,10,0,12,12,2.0,-7.8,-9.6,-11.3,21.0,1.2,0.0,2.0
ALEX,2,0,13,13,3.0,2.2,-3.6,-9.4,23.0,0.4,0.4,0.0
COBY,3,0,13,13,3.0,2.2,-3.6,-9.4,23.0,0.4,0.4,0.0
ORPY,10,0,13,13,3.0,2.2,-3.6,-9.4,23.0,0.4,0.4,0.0
ALEX,2,0,14,14,4.0,2.5,-0.5,-3.4,19.0,0.0,0.0,0.0
COBY,3,0,14,14,4.0,2.5,-0.5,-3.4,19.0,0.0,0.0,0.0
ORPY,10,0,14,14,4.0,2.5,-0.5,-3.4,19.0,0.0,0.0,0.0
ALEX,2,0,15,15,5.0,2.7,1.9,1.0,18.0,0.0,0.0,0.0
COBY,3,0,15,15,5.0,2.7,1.9,1.0,18.0,0.0,0.0,0.0
ORPY,10,0,15,15,5.0,2.7,1.9,1.0,18.0,0.0,0.0,0.0
ALEX,2,0,16,16,6.0,-4.0,-4.8,-5.5,17.0,0.0,0.0,0.0
COBY,3,0,16,16,6.0,-4.0,-4.8,-5.5,17.0,0.0,0.0,0.0
ORPY,10,0,16,16,6.0,-4.0,-4.8,-5.5,17.0,0.0,0.0,0.0
ALEX,2,0,17,17,0.0,-0.9,-3.7,-6.4,17.0,0.0,0.0,0.0
COBY,3,0,17,17,0.0,-0.9,-3.7,-6.4,17.0,0.0,0.0,0.0
ORPY,10,0,17,17,0.0,-0.9,-3.7,-6.4,17.0,0.0,0.0,0.0
ALEX,2,0,18,18,1.0,1.6,-0.4,-2.4,17.0,0.3,0.0,0.4
COBY,3,0,18,18,1.0,1.6,-0.4,-2.4,17.0,0.3,0.0,0.4
ORPY,10,0,18,18,1.0,1.6,-0.4,-2.4,17.0,0.3,0.0,0.4
ALEX,2,0,19,19,2.0,-2.4,-3.4,-4.4,17.0,0.0,0.0,0.0
COBY,3,0,19,19,2.0,-2.4,-3.4,-4.4,17.0,0.0,0.0,0.0
ORPY,10,0,19,19,2.0,-2.4,-3.4,-4.4,17.0,0.0,0.0,0.0
ALEX,2,0,20,20,3.0,-3.0,-6.0,-9.0,17.0,0.0,0.0,0.0
COBY,3,0,20,20,3.0,-3.0,-6.0,-9.0,17.0,0.0,0.0,0.0
ORPY,10,0,20,20,3.0,-3.0,-6.0,-9.0,17.0,0.0,0.0,0.0
ALEX,2,0,21,21,4.0,-2.0,-8.1,-14.1,17.0,0.0,0.0,0.0
COBY,3,0,21,21,4.0,-2.0,-8.1,-14.1,17.0,0.0,0.0,0.0
ORPY,10,0,21,21,4.0,-2.0,-8.1,-14.1,17.0,0.0,0.0,0.0
ALEX,2,0,22,22,5.0,-1.9,-8.2,-14.4,17.0,0.0,0.0,0.0
COBY,3,0,22,22,5.0,-1.9,-8.2,-14.4,17.0,0.0,0.0,0.0
ORPY,10,0,22,22,5.0,-1.9,-8.2,-14.4,17.0,0.0,0.0,0.0
ALEX,2,0,23,23,6.0,4.0,-2.8,-9.5,17.0,31.6,31.6,0.0
COBY,3,0,23,23,6.0,4.0,-2.8,-9.5,17.0,31.6,31.6,0.0
ORPY,10,0,23,23,6.0,4.0,-2.8,-9.5,17.0,31.6,31.6,0.0
ALEX,2,0,24,24,0.0,7.4,2.4,-2.6,15.0,13.3,12.5,2.0
COBY,3,0,24,24,0.0,7.4,2.4,-2.6,15.0,13.3,12.5,2.0
ORPY,10,0,24,24,0.0,7.4,2.4,-2.6,15.0,13.3,12.5,2.0
ALEX,2,0,25,25,1.0,2.6,1.4,0.1,13.0,0.0,0.0,0.0
COBY,3,0,25,25,1.0,2.6,1.4,0.1,13.0,0.0,0.0,0.0
ORPY,10,0,25,25,1.0,2.6,1.4,0.1,13.0,0.0,0.0,0.0
ALEX,2,0,26,26,2.0,-1.3,-3.6,-5.9,10.0,0.0,0.0,0.5
COBY,3,0,26,26,2.0,-1.3,-3.6,-5.9,10.0,0.0,0.0,0.5
ORPY,10,0,26,26,2.0,-1.3,-3.6,-5.9,10.0,0.0,0.0,0.5
ALEX,2,3,27,27,3.0,-3.2,-5.8,-8.3,9.0,1.5,0.0,2.0
COBY,3,0,27,27,3.0,-3.2,-5.8,-8.3,9.0,1.5,0.0,2.0
ORPY,10,0,27,27,3.0,-3.2,-5.8,-8.3,9.0,1.5,0.0,2.0
ALEX,2,0,28,28,4.0,-17.6,-19.1,-20.5,9.0,0.0,0.0,0.0
COBY,3,0,28,28,4.0,-17.6,-19.1,-20.5,9.0,0.0,0.0,0.0
ORPY,10,0,28,28,4.0,-17.6,-19.1,-20.5,9.0,0.0,0.0,0.0
ALEX,2,0,29,29,5.0,-10.0,-16.4,-22.7,9.0,0.0,0.0,0.0
COBY,3,0,29,29,5.0,-10.0,-16.4,-22.7,9.0,0.0,0.0,0.0
ORPY,10,0,29,29,5.0,-10.0,-16.4,-22.7,9.0,0.0,0.0,0.0
ALEX,2,0,30,30,6.0,-4.4,-10.2,-16.0,9.0,0.0,0.0,0.0
COBY,3,0,30,30,6.0,-4.4,-10.2,-16.0,9.0,0.0,0.0,0.0
ORPY,10,0,30,30,6.0,-4.4,-10.2,-16.0,9.0,0.0,0.0,0.0
ALEX,2,0,31,31,0.0,-6.2,-11.4,-16.5,9.0,0.0,0.0,0.0
COBY,3,0,31,31,0.0,-6.2,-11.4,-16.5,9.0,0.0,0.0,0.0
ORPY,10,0,31,31,0.0,-6.2,-11.4,-16.5,9.0,0.0,0.0,0.0
ALEX,2,1,32,32,1.0,-7.0,-10.3,-13.5,8.0,0.0,0.0,0.0
COBY,3,0,32,32,1.0,-7.0,-10.3,-13.5,8.0,0.0,0.0,0.0
ORPY,10,0,32,32,1.0,-7.0,-10.3,-13.5,8.0,0.0,0.0,0.0
ALEX,2,0,33,33,2.0,-3.4,-7.3,-11.2,8.0,0.7,0.0,1.6
COBY,3,0,33,33,2.0,-3.4,-7.3,-11.2,8.0,0.7,0.0,1.6
ORPY,10,0,33,33,2.0,-3.4,-7.3,-11.2,8.0,0.7,0.0,1.6
ALEX,2,2,34,34,3.0,-5.7,-10.5,-15.3,9.0,0.0,0.0,0.0
COBY,3,0,34,34,3.0,-5.7,-10.5,-15.3,9.0,0.0,0.0,0.0
ORPY,10,0,34,34,3.0,-5.7,-10.5,-15.3,9.0,0.0,0.0,0.0
ALEX,2,3,35,35,4.0,-4.1,-7.8,-11.5,9.0,0.0,0.0,0.0
COBY,3,67,35,35,4.0,-4.1,-7.8,-11.5,9.0,0.0,0.0,0.0
ORPY,10,0,35,35,4.0,-4.1,-7.8,-11.5,9.0,0.0,0.0,0.0
ALEX,2,3,36,36,5.0,-7.7,-12.1,-16.5,9.0,0.0,0.0,0.0
COBY,3,35,36,36,5.0,-7.7,-12.1,-16.5,9.0,0.0,0.0,0.0
ORPY,10,0,36,36,5.0,-7.7,-12.1,-16.5,9.0,0.0,0.0,0.0
ALEX,2,0,37,37,6.0,-5.2,-9.0,-12.8,9.0,0.0,0.0,0.0
COBY,3,41,37,37,6.0,-5.2,-9.0,-12.8,9.0,0.0,0.0,0.0
ORPY,10,0,37,37,6.0,-5.2,-9.0,-12.8,9.0,0.0,0.0,0.0
ALEX,2,4,38,38,0.0,-5.7,-7.9,-10.0,9.0,0.0,0.0,0.0
COBY,3,74,38,38,0.0,-5.7,-7.9,-10.0,9.0,0.0,0.0,0.0
ORPY,10,0,38,38,0.0,-5.7,-7.9,-10.0,9.0,0.0,0.0,0.0
ALEX,2,1,39,39,1.0,-2.7,-6.4,-10.0,8.0,0.0,0.0,0.0
COBY,3,93,39,39,1.0,-2.7,-6.4,-10.0,8.0,0.0,0.0,0.0
ORPY,10,0,39,39,1.0,-2.7,-6.4,-10.0,8.0,0.0,0.0,0.0
ALEX,2,0,40,40,2.0,1.2,-2.5,-6.1,8.0,0.0,0.0,0.0
COBY,3,120,40,40,2.0,1.2,-2.5,-6.1,8.0,0.0,0.0,0.0
ORPY,10,0,40,40,2.0,1.2,-2.5,-6.1,8.0,0.0,0.0,0.0
ALEX,2,0,41,41,3.0,-5.6,-7.8,-9.9,8.0,0.0,0.0,0.0
COBY,3,83,41,41,3.0,-5.6,-7.8,-9.9,8.0,0.0,0.0,0.0
ORPY,10,0,41,41,3.0,-5.6,-7.8,-9.9,8.0,0.0,0.0,0.0
ALEX,2,0,42,42,4.0,-8.1,-11.8,-15.4,8.0,0.0,0.0,0.0
COBY,3,89,42,42,4.0,-8.1,-11.8,-15.4,8.0,0.0,0.0,0.0
ORPY,10,0,42,42,4.0,-8.1,-11.8,-15.4,8.0,0.0,0.0,0.0
ALEX,2,0,43,43,5.0,-4.5,-7.3,-10.0,8.0,1.2,0.0,1.2
COBY,3,43,43,43,5.0,-4.5,-7.3,-10.0,8.0,1.2,0.0,1.2
ORPY,10,0,43,43,5.0,-4.5,-7.3,-10.0,8.0,1.2,0.0,1.2
ALEX,2,0,44,44,6.0,-3.5,-4.9,-6.3,8.0,0.0,0.0,0.0
COBY,3,46,44,44,6.0,-3.5,-4.9,-6.3,8.0,0.0,0.0,0.0
ORPY,10,0,44,44,6.0,-3.5,-4.9,-6.3,8.0,0.0,0.0,0.0
ALEX,2,0,45,45,0.0,-0.3,-3.8,-7.2,8.0,0.0,0.0,0.0
COBY,3,53,45,45,0.0,-0.3,-3.8,-7.2,8.0,0.0,0.0,0.0
ORPY,10,0,45,45,0.0,-0.3,-3.8,-7.2,8.0,0.0,0.0,0.0
ALEX,2,0,46,46,1.0,-0.1,-5.1,-10.0,8.0,2.4,0.0,3.0
COBY,3,88,46,46,1.0,-0.1,-5.1,-10.0,8.0,2.4,0.0,3.0
ORPY,10,0,46,46,1.0,-0.1,-5.1,-10.0,8.0,2.4,0.0,3.0
ALEX,2,0,47,47,2.0,0.2,-1.8,-3.7,9.0,0.9,0.9,0.0
COBY,3,67,47,47,2.0,0.2,-1.8,-3.7,9.0,0.9,0.9,0.0
ORPY,10,0,47,47,2.0,0.2,-1.8,-3.7,9.0,0.9,0.9,0.0
ALEX,2,0,48,48,3.0,-0.1,-1.6,-3.1,10.0,0.3,0.0,0.3
COBY,3,76,48,48,3.0,-0.1,-1.6,-3.1,10.0,0.3,0.0,0.3
ORPY,10,0,48,48,3.0,-0.1,-1.6,-3.1,10.0,0.3,0.0,0.3
ALEX,2,0,49,49,4.0,1.1,-1.6,-4.2,10.0,0.0,0.0,0.0
COBY,3,80,49,49,4.0,1.1,-1.6,-4.2,10.0,0.0,0.0,0.0
ORPY,10,0,49,49,4.0,1.1,-1.6,-4.2,10.0,0.0,0.0,0.0
ALEX,2,0,50,50,5.0,1.6,-0.3,-2.2,10.0,0.0,0.0,0.0
COBY,3,54,50,50,5.0,1.6,-0.3,-2.2,10.0,0.0,0.0,0.0
ORPY,10,0,50,50,5.0,1.6,-0.3,-2.2,10.0,0.0,0.0,0.0
ALEX,2,0,51,51,6.0,-0.6,-3.1,-5.5,11.0,0.0,0.0,0.0
COBY,3,42,51,51,6.0,-0.6,-3.1,-5.5,11.0,0.0,0.0,0.0
ORPY,10,0,51,51,6.0,-0.6,-3.1,-5.5,11.0,0.0,0.0,0.0
ALEX,2,0,52,52,0.0,-0.5,-3.5,-6.5,10.0,5.0,0.0,5.0
COBY,3,77,52,52,0.0,-0.5,-3.5,-6.5,10.0,5.0,0.0,5.0
ORPY,10,0,52,52,0.0,-0.5,-3.5,-6.5,10.0,5.0,0.0,5.0
ALEX,2,0,53,53,1.0,1.9,-0.1,-2.0,14.0,9.2,4.2,5.0
COBY,3,65,53,53,1.0,1.9,-0.1,-2.0,14.0,9.2,4.2,5.0
ORPY,10,0,53,53,1.0,1.9,-0.1,-2.0,14.0,9.2,4.2,5.0
ALEX,2,0,54,54,2.0,1.5,1.0,0.5,15.0,10.7,0.0,10.0
COBY,3,51,54,54,2.0,1.5,1.0,0.5,15.0,10.7,0.0,10.0
ORPY,10,0,54,54,2.0,1.5,1.0,0.5,15.0,10.7,0.0,10.0
ALEX,2,0,55,55,3.0,4.5,2.4,0.2,16.0,23.9,0.0,20.0
COBY,3,51,55,55,3.0,4.5,2.4,0.2,16.0,23.9,0.0,20.0
ORPY,10,0,55,55,3.0,4.5,2.4,0.2,16.0,23.9,0.0,20.0
ALEX,2,0,56,56,4.0,4.8,2.5,0.1,19.0,1.8,1.8,0.0
COBY,3,47,56,56,4.0,4.8,2.5,0.1,19.0,1.8,1.8,0.0
ORPY,10,0,56,56,4.0,4.8,2.5,0.1,19.0,1.8,1.8,0.0
ALEX,2,0,57,57,5.0,4.6,2.6,0.5,15.0,0.6,0.6,0.0
COBY,3,30,57,57,5.0,4.6,2.6,0.5,15.0,0.6,0.6,0.0
ORPY,10,0,57,57,5.0,4.6,2.6,0.5,15.0,0.6,0.6,0.0
ALEX,2,2,58,58,6.0,6.0,3.1,0.1,14.0,0.0,0.0,0.0
COBY,3,59,58,58,6.0,6.0,3.1,0.1,14.0,0.0,0.0,0.0
ORPY,10,0,58,58,6.0,6.0,3.1,0.1,14.0,0.0,0.0,0.0
ALEX,2,9,59,59,0.0,4.7,2.7,0.6,12.0,0.0,0.0,0.0
COBY,3,115,59,59,0.0,4.7,2.7,0.6,12.0,0.0,0.0,0.0
ORPY,10,0,59,59,0.0,4.7,2.7,0.6,12.0,0.0,0.0,0.0
ALEX,2,12,60,60,1.0,6.5,1.6,-3.3,10.0,0.0,0.0,0.0
COBY,3,136,60,60,1.0,6.5,1.6,-3.3,10.0,0.0,0.0,0.0
ORPY,10,0,60,60,1.0,6.5,1.6,-3.3,10.0,0.0,0.0,0.0
ALEX,2,47,61,61,2.0,3.5,-0.3,-4.1,10.0,0.0,0.0,0.0
COBY,3,167,61,61,2.0,3.5,-0.3,-4.1,10.0,0.0,0.0,0.0
ORPY,10,0,61,61,2.0,3.5,-0.3,-4.1,10.0,0.0,0.0,0.0
ALEX,2,86,62,62,3.0,4.6,0.7,-3.3,10.0,0.0,0.0,0.0
COBY,3,177,62,62,3.0,4.6,0.7,-3.3,10.0,0.0,0.0,0.0
ORPY,10,0,62,62,3.0,4.6,0.7,-3.3,10.0,0.0,0.0,0.0
ALEX,2,79,63,63,4.0,4.5,-0.3,-5.1,9.0,0.0,0.0,0.0
COBY,3,246,63,63,4.0,4.5,-0.3,-5.1,9.0,0.0,0.0,0.0
ORPY,10,0,63,63,4.0,4.5,-0.3,-5.1,9.0,0.0,0.0,0.0
ALEX,2,145,64,64,5.0,8.0,0.9,-6.3,8.0,0.0,0.0,0.0
COBY,3,258,64,64,5.0,8.0,0.9,-6.3,8.0,0.0,0.0,0.0
ORPY,10,0,64,64,5.0,8.0,0.9,-6.3,8.0,0.0,0.0,0.0
ALEX,2,218,65,65,6.0,10.9,3.8,-3.4,7.0,0.0,0.0,0.0
COBY,3,363,65,65,6.0,10.9,3.8,-3.4,7.0,0.0,0.0,0.0
ORPY,10,0,65,65,6.0,10.9,3.8,-3.4,7.0,0.0,0.0,0.0
ALEX,2,346,66,66,0.0,9.6,5.2,0.8,4.0,0.0,0.0,0.0
COBY,3,305,66,66,0.0,9.6,5.2,0.8,4.0,0.0,0.0,0.0
ORPY,10,0,66,66,0.0,9.6,5.2,0.8,4.0,0.0,0.0,0.0
ALEX,2,362,67,67,1.0,6.0,1.4,-3.3,0.0,0.0,0.0,0.0
COBY,3,334,67,67,1.0,6.0,1.4,-3.3,0.0,0.0,0.0,0.0
ORPY,10,0,67,67,1.0,6.0,1.4,-3.3,0.0,0.0,0.0,0.0
ALEX,2,396,68,68,2.0,9.0,1.6,-5.8,0.0,0.0,0.0,0.0
COBY,3,349,68,68,2.0,9.0,1.6,-5.8,0.0,0.0,0.0,0.0
ORPY,10,0,68,68,2.0,9.0,1.6,-5.8,0.0,0.0,0.0,0.0
ALEX,2,416,69,69,3.0,10.0,4.9,-0.3,0.0,0.0,0.0,0.0
COBY,3,346,69,69,3.0,10.0,4.9,-0.3,0.0,0.0,0.0,0.0
ORPY,10,0,69,69,3.0,10.0,4.9,-0.3,0.0,0.0,0.0,0.0
ALEX,2,397,70,70,4.0,7.2,4.1,0.9,0.0,0.0,0.0,0.0
COBY,3,260,70,70,4.0,7.2,4.1,0.9,0.0,0.0,0.0,0.0
ORPY,10,0,70,70,4.0,7.2,4.1,0.9,0.0,0.0,0.0,0.0
ALEX,2,208,71,71,5.0,9.2,5.9,2.5,0.0,2.4,2.4,0.0
COBY,3,183,71,71,5.0,9.2,5.9,2.5,0.0,2.4,2.4,0.0
ORPY,10,0,71,71,5.0,9.2,5.9,2.5,0.0,2.4,2.4,0.0
ALEX,2,76,72,72,6.0,6.5,4.5,2.5,0.0,9.1,9.1,0.0
COBY,3,49,72,72,6.0,6.5,4.5,2.5,0.0,9.1,9.1,0.0
ORPY,10,0,72,72,6.0,6.5,4.5,2.5,0.0,9.1,9.1,0.0
ALEX,2,523,73,73,0.0,13.8,8.8,3.8,0.0,0.0,0.0,0.0
COBY,3,337,73,73,0.0,13.8,8.8,3.8,0.0,0.0,0.0,0.0
ORPY,10,0,73,73,0.0,13.8,8.8,3.8,0.0,0.0,0.0,0.0
ALEX,2,746,74,74,1.0,15.5,6.5,-2.6,0.0,0.0,0.0,0.0
COBY,3,583,74,74,1.0,15.5,6.5,-2.6,0.0,0.0,0.0,0.0
ORPY,10,0,74,74,1.0,15.5,6.5,-2.6,0.0,0.0,0.0,0.0
ALEX,2,728,75,75,2.0,16.5,8.4,0.2,0.0,0.0,0.0,0.0
COBY,3,615,75,75,2.0,16.5,8.4,0.2,0.0,0.0,0.0,0.0
ORPY,10,0,75,75,2.0,16.5,8.4,0.2,0.0,0.0,0.0,0.0
ALEX,2,666,76,76,3.0,14.7,9.6,4.4,0.0,0.0,0.0,0.0
COBY,3,511,76,76,3.0,14.7,9.6,4.4,0.0,0.0,0.0,0.0
ORPY,10,0,76,76,3.0,14.7,9.6,4.4,0.0,0.0,0.0,0.0
ALEX,2,694,77,77,4.0,16.0,8.1,0.1,0.0,0.0,0.0,0.0
COBY,3,631,77,77,4.0,16.0,8.1,0.1,0.0,0.0,0.0,0.0
ORPY,10,109,77,77,4.0,16.0,8.1,0.1,0.0,0.0,0.0,0.0
ALEX,2,323,78,78,5.0,7.0,4.3,1.5,0.0,0.0,0.0,0.0
COBY,3,283,78,78,5.0,7.0,4.3,1.5,0.0,0.0,0.0,0.0
ORPY,10,368,78,78,5.0,7.0,4.3,1.5,0.0,0.0,0.0,0.0
ALEX,2,250,79,79,6.0,4.6,1.7,-1.2,0.0,0.0,0.0,0.0
COBY,3,238,79,79,6.0,4.6,1.7,-1.2,0.0,0.0,0.0,0.0
ORPY,10,354,79,79,6.0,4.6,1.7,-1.2,0.0,0.0,0.0,0.0
ALEX,2,566,80,80,0.0,9.9,4.2,-1.5,0.0,1.0,1.0,0.0
COBY,3,347,80,80,0.0,9.9,4.2,-1.5,0.0,1.0,1.0,0.0
ORPY,10,552,80,80,0.0,9.9,4.2,-1.5,0.0,1.0,1.0,0.0
ALEX,2,256,81,81,1.0,3.2,2.4,1.6,0.0,5.6,5.6,0.0
COBY,3,121,81,81,1.0,3.2,2.4,1.6,0.0,5.6,5.6,0.0
ORPY,10,137,81,81,1.0,3.2,2.4,1.6,0.0,5.6,5.6,0.0
ALEX,2,602,82,82,2.0,11.4,5.2,-1.0,0.0,0.0,0.0,0.0
COBY,3,390,82,82,2.0,11.4,5.2,-1.0,0.0,0.0,0.0,0.0
ORPY,10,667,82,82,2.0,11.4,5.2,-1.0,0.0,0.0,0.0,0.0
ALEX,2,586,83,83,3.0,14.0,5.8,-2.5,0.0,0.0,0.0,0.0
COBY,3,388,83,83,3.0,14.0,5.8,-2.5,0.0,0.0,0.0,0.0
ORPY,10,651,83,83,3.0,14.0,5.8,-2.5,0.0,0.0,0.0,0.0
ALEX,2,369,84,84,4.0,-2.7,-7.0,-11.2,0.0,0.0,0.0,0.0
COBY,3,206,84,84,4.0,-2.7,-7.0,-11.2,0.0,0.0,0.0,0.0
ORPY,10,217,84,84,4.0,-2.7,-7.0,-11.2,0.0,0.0,0.0,0.0
ALEX,2,197,85,85,5.0,4.4,-2.1,-8.6,0.0,0.0,0.0,0.0
COBY,3,207,85,85,5.0,4.4,-2.1,-8.6,0.0,0.0,0.0,0.0
ORPY,10,242,85,85,5.0,4.4,-2.1,-8.6,0.0,0.0,0.0,0.0
ALEX,2,264,86,86,6.0,8.4,2.4,-3.6,0.0,15.1,15.1,0.0
COBY,3,247,86,86,6.0,8.4,2.4,-3.6,0.0,15.1,15.1,0.0
ORPY,10,396,86,86,6.0,8.4,2.4,-3.6,0.0,15.1,15.1,0.0
ALEX,2,262,87,87,0.0,6.5,4.2,1.9,0.0,1.8,1.8,0.0
COBY,3,189,87,87,0.0,6.5,4.2,1.9,0.0,1.8,1.8,0.0
ORPY,10,295,87,87,0.0,6.5,4.2,1.9,0.0,1.8,1.8,0.0
ALEX,2,597,88,88,1.0,11.0,4.9,-1.2,0.0,0.0,0.0,0.0
COBY,3,376,88,88,1.0,11.0,4.9,-1.2,0.0,0.0,0.0,0.0
ORPY,10,771,88,88,1.0,11.0,4.9,-1.2,0.0,0.0,0.0,0.0
ALEX,2,778,89,89,2.0,17.2,10.8,4.3,0.0,0.0,0.0,0.0
COBY,3,563,89,89,2.0,17.2,10.8,4.3,0.0,0.0,0.0,0.0
ORPY,10,1157,89,89,2.0,17.2,10.8,4.3,0.0,0.0,0.0,0.0
ALEX,2,914,90,90,3.0,18.8,11.1,3.4,0.0,0.0,0.0,0.0
COBY,3,696,90,90,3.0,18.8,11.1,3.4,0.0,0.0,0.0,0.0
ORPY,10,1517,90,90,3.0,18.8,11.1,3.4,0.0,0.0,0.0,0.0
ALEX,2,1076,91,91,4.0,28.4,17.2,6.0,0.0,0.0,0.0,0.0
COBY,3,1463,91,91,4.0,28.4,17.2,6.0,0.0,0.0,0.0,0.0
ORPY,10,2779,91,91,4.0,28.4,17.2,6.0,0.0,0.0,0.0,0.0
ALEX,2,989,92,92,5.0,28.5,18.2,7.9,0.0,0.0,0.0,0.0
COBY,3,1312,92,92,5.0,28.5,18.2,7.9,0.0,0.0,0.0,0.0
ORPY,10,2092,92,92,5.0,28.5,18.2,7.9,0.0,0.0,0.0,0.0
ALEX,2,865,93,93,6.0,18.8,14.3,9.7,0.0,0.0,0.0,0.0
COBY,3,1108,93,93,6.0,18.8,14.3,9.7,0.0,0.0,0.0,0.0
ORPY,10,1809,93,93,6.0,18.8,14.3,9.7,0.0,0.0,0.0,0.0
ALEX,2,387,94,94,0.0,21.1,14.2,7.3,0.0,0.0,0.0,0.0
COBY,3,440,94,94,0.0,21.1,14.2,7.3,0.0,0.0,0.0,0.0
ORPY,10,852,94,94,0.0,21.1,14.2,7.3,0.0,0.0,0.0,0.0
ALEX,2,955,95,95,1.0,15.6,12.2,8.7,0.0,21.9,21.9,0.0
COBY,3,522,95,95,1.0,15.6,12.2,8.7,0.0,21.9,21.9,0.0
ORPY,10,1209,95,95,1.0,15.6,12.2,8.7,0.0,21.9,21.9,0.0
ALEX,2,547,96,96,2.0,14.3,12.0,9.6,0.0,0.0,0.0,0.0
COBY,3,304,96,96,2.0,14.3,12.0,9.6,0.0,0.0,0.0,0.0
ORPY,10,519,96,96,2.0,14.3,12.0,9.6,0.0,0.0,0.0,0.0
ALEX,2,545,97,97,3.0,8.3,5.3,2.3,0.0,14.9,14.9,0.0
COBY,3,256,97,97,3.0,8.3,5.3,2.3,0.0,14.9,14.9,0.0
ORPY,10,592,97,97,3.0,8.3,5.3,2.3,0.0,14.9,14.9,0.0
ALEX,2,656,98,98,4.0,7.0,5.1,3.2,0.0,0.0,0.0,0.0
COBY,3,337,98,98,4.0,7.0,5.1,3.2,0.0,0.0,0.0,0.0
ORPY,10,709,98,98,4.0,7.0,5.1,3.2,0.0,0.0,0.0,0.0
ALEX,2,386,99,99,5.0,12.0,6.7,1.3,0.0,0.0,0.0,0.0
COBY,3,448,99,99,5.0,12.0,6.7,1.3,0.0,0.0,0.0,0.0
ORPY,10,543,99,99,5.0,12.0,6.7,1.3,0.0,0.0,0.0,0.0
